Euristica,Media passi,Media fissati,Media max nodi fissati,Media nodi no fissati,Max passi,Max fissati,Max max nodi fissati,Min nodi no fissati
aux,1791.4,3.13359126475,272.8,14592.2,9298,3.68392120934,283,429
auxMaxPeso,341.45,21.5602317507,585.0,1407.15,1313,34.3806228374,613,27
auxMinPeso,2810.35,1.59788155387,569.6,27715.55,14024,2.02873222749,608,895
maxArchiDaFissare,243.2,31.0389286082,328.45,0.0,1246,36.8441558442,405,0
maxPeso,188.55,37.2322594837,604.7,0.0,938,50.125,651,0
minArchiDaFissare,2882.75,1.52946127802,354.9,28413.85,14225,2.0233589592,393,934
minPeso,608.9,12.2729528981,354.6,1656.8,3262,17.2156862745,468,54
noAuxNoThorn,498.15,16.4752997265,314.0,4.15,2637,24.5614035088,372,0
noAuxNoThornMaxPeso,188.55,37.2322594837,604.7,0.0,938,50.125,651,0
noAuxNoThornMinPeso,358.1,20.4006207465,585.2,113.35,1809,25.2179487179,683,5
thorn,562.55,12.0982982476,567.95,3251.9,2608,15.762295082,646,125
thornMaxPeso,332.15,21.485487372,584.45,1089.85,1236,38.4787644788,921,31
thornMinPeso,728.6,8.9800927173,601.35,5384.8,3400,12.3660130719,644,199
